, ID,Q_cms
1995-05-01,08HA011,13.1
1995-06-01,08HA011,5.33
1995-07-01,08HA011,5.28
1995-08-01,08HA011,5.68
1995-09-01,08HA011,5.89
1995-10-01,08HA011,28.5
1995-11-01,08HA011,158.0
1995-12-01,08HA011,193.0
1996-01-01,08HA011,134.0
1996-02-01,08HA011,95.0
1996-03-01,08HA011,62.5
1996-04-01,08HA011,62.0
1996-05-01,08HA011,41.3
1996-06-01,08HA011,11.3
1996-07-01,08HA011,5.32
1996-08-01,08HA011,5.05
1996-09-01,08HA011,4.96
1996-10-01,08HA011,27.6
1996-11-01,08HA011,67.5
1996-12-01,08HA011,91.9
1997-01-01,08HA011,157.0
1997-02-01,08HA011,90.4
1997-03-01,08HA011,130.0
1997-04-01,08HA011,92.7
1997-05-01,08HA011,72.8
1997-06-01,08HA011,32.5
1997-07-01,08HA011,35.4
1997-08-01,08HA011,8.87
1997-09-01,08HA011,19.9
1997-10-01,08HA011,96.5
1997-11-01,08HA011,97.5
1997-12-01,08HA011,116.0
1998-01-01,08HA011,146.0
1998-02-01,08HA011,128.0
1998-03-01,08HA011,69.6
1998-04-01,08HA011,26.4
1998-05-01,08HA011,11.7
1998-06-01,08HA011,5.37
1998-07-01,08HA011,4.73
1998-08-01,08HA011,4.37
1998-09-01,08HA011,4.15
1998-10-01,08HA011,10.0
1998-11-01,08HA011,110.0
1998-12-01,08HA011,172.0
1999-01-01,08HA011,147.0
1999-02-01,08HA011,155.0
1999-03-01,08HA011,107.0
1999-04-01,08HA011,59.1
1999-05-01,08HA011,57.0
1999-06-01,08HA011,51.7
1999-07-01,08HA011,21.3
1999-08-01,08HA011,8.36
1999-09-01,08HA011,6.5
1999-10-01,08HA011,16.1
1999-11-01,08HA011,105.0
1999-12-01,08HA011,132.0
2000-01-01,08HA011,64.8
2000-02-01,08HA011,59.4
2000-03-01,08HA011,55.3
2000-04-01,08HA011,43.0
2000-05-01,08HA011,41.4
2000-06-01,08HA011,29.0
2000-07-01,08HA011,8.17
2000-08-01,08HA011,5.67
2000-09-01,08HA011,7.58
2000-10-01,08HA011,21.3
2000-11-01,08HA011,40.7
2000-12-01,08HA011,63.7
2001-01-01,08HA011,70.7
2001-02-01,08HA011,49.3
2001-03-01,08HA011,24.6
2001-04-01,08HA011,38.2
2001-05-01,08HA011,40.7
2001-06-01,08HA011,17.8
2001-07-01,08HA011,8.9
2001-08-01,08HA011,5.0
2001-09-01,08HA011,7.01
2001-10-01,08HA011,18.3
2001-11-01,08HA011,88.5
2001-12-01,08HA011,135.0
2002-01-01,08HA011,139.0
2002-02-01,08HA011,86.3
2002-03-01,08HA011,68.3
2002-04-01,08HA011,60.2
2002-05-01,08HA011,31.1
2002-06-01,08HA011,18.5
2002-07-01,08HA011,7.34
2002-08-01,08HA011,5.84
2002-09-01,08HA011,5.97
2002-10-01,08HA011,7.23
2002-11-01,08HA011,66.4
2002-12-01,08HA011,97.7
2003-01-01,08HA011,159.0
2003-02-01,08HA011,97.5
2003-03-01,08HA011,125.0
2003-04-01,08HA011,89.7
2003-05-01,08HA011,20.3
2003-06-01,08HA011,9.68
2003-07-01,08HA011,6.3
2003-08-01,08HA011,5.05
2003-09-01,08HA011,
2003-10-01,08HA011,
2003-11-01,08HA011,70.7
2003-12-01,08HA011,105.0
2004-01-01,08HA011,105.0
2004-02-01,08HA011,78.5
2004-03-01,08HA011,49.4
2004-04-01,08HA011,31.6
2004-05-01,08HA011,13.5
2004-06-01,08HA011,6.7
2004-07-01,08HA011,3.07
2004-08-01,08HA011,3.1
2004-09-01,08HA011,7.46
2004-10-01,08HA011,24.5
2004-11-01,08HA011,88.6
2004-12-01,08HA011,112.0
2005-01-01,08HA011,126.0
2005-02-01,08HA011,75.9
2005-03-01,08HA011,30.7
2005-04-01,08HA011,93.8
2005-05-01,08HA011,38.2
2005-06-01,08HA011,17.8
2005-07-01,08HA011,8.56
2005-08-01,08HA011,5.32
2005-09-01,08HA011,5.89
2005-10-01,08HA011,18.6
2005-11-01,08HA011,90.1
2005-12-01,08HA011,74.1
2006-01-01,08HA011,205.0
2006-02-01,08HA011,115.0
2006-03-01,08HA011,55.4
2006-04-01,08HA011,46.3
2006-05-01,08HA011,26.8
2006-06-01,08HA011,18.4
2006-07-01,08HA011,4.45
2006-08-01,08HA011,4.25
2006-09-01,08HA011,2.98
2006-10-01,08HA011,4.18
2006-11-01,08HA011,193.0
2006-12-01,08HA011,176.0
2007-01-01,08HA011,177.0
2007-02-01,08HA011,83.9
2007-03-01,08HA011,138.0
2007-04-01,08HA011,70.8
2007-05-01,08HA011,33.9
2007-06-01,08HA011,14.0
2007-07-01,08HA011,6.84
2007-08-01,08HA011,7.33
2007-09-01,08HA011,9.0
2007-10-01,08HA011,66.6
2007-11-01,08HA011,94.6
2007-12-01,08HA011,154.0
2008-01-01,08HA011,102.0
2008-02-01,08HA011,52.8
2008-03-01,08HA011,56.3
2008-04-01,08HA011,37.0
2008-05-01,08HA011,51.0
2008-06-01,08HA011,23.3
2008-07-01,08HA011,9.1
2008-08-01,08HA011,6.5
2008-09-01,08HA011,13.9
2008-10-01,08HA011,24.6
2008-11-01,08HA011,70.4
2008-12-01,08HA011,40.6
2009-01-01,08HA011,73.6
2009-02-01,08HA011,37.0
2009-03-01,08HA011,51.3
2009-04-01,08HA011,54.8
2009-05-01,08HA011,36.8
2009-06-01,08HA011,10.5
2009-07-01,08HA011,6.45
2009-08-01,08HA011,5.98
2009-09-01,08HA011,5.63
2009-10-01,08HA011,20.9
2009-11-01,08HA011,208.0
2009-12-01,08HA011,127.0
2010-01-01,08HA011,176.0
2010-02-01,08HA011,87.1
2010-03-01,08HA011,68.1
2010-04-01,08HA011,85.7
2010-05-01,08HA011,43.3
2010-06-01,08HA011,29.6
2010-07-01,08HA011,5.94
2010-08-01,08HA011,4.93
2010-09-01,08HA011,5.48
2010-10-01,08HA011,38.0
2010-11-01,08HA011,75.7
2010-12-01,08HA011,152.0
2011-01-01,08HA011,135.0
2011-02-01,08HA011,86.6
2011-03-01,08HA011,112.0
2011-04-01,08HA011,77.2
2011-05-01,08HA011,53.5
2011-06-01,08HA011,29.5
2011-07-01,08HA011,8.7
2011-08-01,08HA011,7.31
2011-09-01,08HA011,8.4
2011-10-01,08HA011,38.4
2011-11-01,08HA011,66.8
2011-12-01,08HA011,73.1
2012-01-01,08HA011,128.0
2012-02-01,08HA011,94.1
2012-03-01,08HA011,85.7
2012-04-01,08HA011,79.5
2012-05-01,08HA011,51.0
2012-06-01,08HA011,19.5
2012-07-01,08HA011,12.8
2012-08-01,08HA011,6.1
2012-09-01,08HA011,5.1
2012-10-01,08HA011,15.8
2012-11-01,08HA011,89.5
2012-12-01,08HA011,116.0
2013-01-01,08HA011,61.5
2013-02-01,08HA011,55.4
2013-03-01,08HA011,105.0
2013-04-01,08HA011,64.9
2013-05-01,08HA011,32.2
2013-06-01,08HA011,17.2
2013-07-01,08HA011,6.04
2013-08-01,08HA011,5.45
2013-09-01,08HA011,15.7
2013-10-01,08HA011,44.7
2013-11-01,08HA011,28.5
2013-12-01,08HA011,20.9
2014-01-01,08HA011,57.3
2014-02-01,08HA011,53.2
2014-03-01,08HA011,104.0
2014-04-01,08HA011,70.5
2014-05-01,08HA011,30.2
2014-06-01,08HA011,11.0
2014-07-01,08HA011,3.85
2014-08-01,08HA011,2.98
2014-09-01,08HA011,3.16
2014-10-01,08HA011,32.7
2014-11-01,08HA011,95.0
2014-12-01,08HA011,146.0
2015-01-01,08HA011,89.7
2015-02-01,08HA011,120.0
2015-03-01,08HA011,61.3
2015-04-01,08HA011,53.5
2015-05-01,08HA011,11.7
2015-06-01,08HA011,5.07
2015-07-01,08HA011,4.3
2015-08-01,08HA011,3.48
2015-09-01,08HA011,7.91
2015-10-01,08HA011,23.3
2015-11-01,08HA011,96.9
2015-12-01,08HA011,192.0
2016-01-01,08HA011,114.0
2016-02-01,08HA011,148.0
2016-03-01,08HA011,146.0
2016-04-01,08HA011,36.3
2016-05-01,08HA011,10.2
2016-06-01,08HA011,3.93
2016-07-01,08HA011,3.25
2016-08-01,08HA011,3.16
2016-09-01,08HA011,3.34
2016-10-01,08HA011,59.5
2016-11-01,08HA011,150.0
2016-12-01,08HA011,76.6
2017-01-01,08HA011,65.4
2017-02-01,08HA011,92.9
2017-03-01,08HA011,108.0
2017-04-01,08HA011,120.0
2017-05-01,08HA011,48.7
2017-06-01,08HA011,12.8
2017-07-01,08HA011,6.24
2017-08-01,08HA011,5.13
2017-09-01,08HA011,5.87
2017-10-01,08HA011,23.9
2017-11-01,08HA011,138.0
2017-12-01,08HA011,99.8
2018-01-01,08HA011,140.0
2018-02-01,08HA011,118.0
2018-03-01,08HA011,35.2
2018-04-01,08HA011,63.2
2018-05-01,08HA011,23.3
2018-06-01,08HA011,10.9
2018-07-01,08HA011,5.31
2018-08-01,08HA011,3.66
2018-09-01,08HA011,5.28
2018-10-01,08HA011,19.1
2018-11-01,08HA011,74.9
2018-12-01,08HA011,167.0
